order_id,customer_id,product_name,quantity,unit_price,currency,order_date
ORD002237,CUST0030,External SSD 1TB,2.0,1525.75,USD,17/03/2025
ORD002405,CUST0272,Webcam HD,1.0,1077.71,USD,05-06-2024
ORD001279,CUST0211,Webcam HD,5.0,1768.24,INR,05-20-2024
ORD000533,CUST0197,27in Monitor,1.0,618.49,EUR,05-04-2025
ORD002684,CUST0146,Webcam HD,2.0,684.06,EUR,2024/12/10
ORD001808,CUST0061,Noise Cancelling Headphones,1.0,289.16,AUD,2024-07-03
ORD002799,CUST0016,Laptop Pro 15,5.0,883.58,USD,06-13-2024
ORD001391,CUST0291,Webcam HD,1.0,129.32,INR,2024-04-30
ORD002220,CUST0279,USB-C Hub,1.0,214.97,USD,16/09/2024
ORD002435,CUST0111,27in Monitor,1.0,888.9,AUD,2025/03/08
ORD000171,CUST0303,27in Monitor,2.0,1647.37,GBP,2024-12-26
ORD000482,CUST0109,External SSD 1TB,2.0,1623.63,USD,2024/04/07
ORD001674,CUST0305,Mechanical Keyboard,-1.0,606.33,EUR,2025/01/29
ORD001397,CUST0100,27in Monitor,1.0,860.6,USD,2024-12-09
ORD001595,CUST0375,Mechanical Keyboard,3.0,210.81,EUR,06-23-2024
ORD002402,CUST0299,External SSD 1TB,2.0,358.29,USD,29/08/2024
ORD000342,CUST0034,Office Chair,3.0,550.16,INR,10-19-2024
ORD001527,CUST0142,External SSD 1TB,1.0,530.15,USD,2025/02/19
ORD002239,CUST0365,Wireless Mouse,2.0,1662.13,INR,26/01/2025
ORD002942,CUST0145,Office Chair,1.0,1331.05,EUR,13/02/2025
ORD002698,CUST0240,27in Monitor,5.0,888.84,USD,2025/03/05
ORD000275,CUST0115,USB-C Hub,2.0,1112.74,GBP,2024-04-23
ORD001530,CUST0331,Webcam HD,2.0,1550.23,INR,2024/08/18
ORD002692,CUST0163,Webcam HD,1.0,1589.0,EUR,2024/10/13
ORD002064,CUST0280,Wireless Mouse,1.0,383.15,GBP,2024/11/16
ORD000236,CUST0096,Standing Desk,1.0,158.91,USD,2024-05-13
ORD002956,CUST0191,Laptop Pro 15,5.0,1655.2,USD,2024/05/04
ORD000911,CUST0301,Standing Desk,1.0,1147.96,USD,05/04/2024
ORD000084,CUST0302,Wireless Mouse,1.0,662.47,INR,2024/03/03
ORD002139,CUST0390,Noise Cancelling Headphones,2.0,1326.53,USD,2024-11-14
ORD000602,CUST0324,External SSD 1TB,2.0,355.32,GBP,2024/05/01
ORD000727,CUST0227,Mechanical Keyboard,1.0,1466.77,GBP,14/02/2024
ORD002989,CUST0118,27in Monitor,3.0,1681.07,USD,2024/08/03
ORD002823,CUST0359,Mechanical Keyboard,1.0,1069.43,USD,2024-04-12
ORD001456,CUST0128,Office Chair,5.0,1453.97,INR,2024-03-14
ORD002966,CUST0282,Wireless Mouse,1.0,1724.12,EUR,2024/06/28
ORD000361,CUST0213,Wireless Mouse,2.0,138.44,AUD,28/08/2024
ORD001998,CUST0075,Laptop Pro 15,2.0,1416.44,EUR,2024-02-07
ORD001122,CUST0342,Wireless Mouse,3.0,965.04,EUR,13/12/2024
ORD002333,CUST0327,USB-C Hub,5.0,269.56,EUR,2024-12-06
ORD000432,,Webcam HD,1.0,980.99,USD,23/08/2024
ORD001133,CUST0147,Noise Cancelling Headphones,3.0,1604.13,USD,2024/06/19
ORD002612,CUST0137,Noise Cancelling Headphones,1.0,1014.12,USD,14/06/2024
ORD001778,,USB-C Hub,3.0,125.03,USD,12-07-2024
ORD000183,CUST0239,Laptop Pro 15,5.0,1489.26,USD,2025/03/12
ORD002856,CUST0080,USB-C Hub,1.0,,USD,28/05/2024
ORD000395,CUST0107,External SSD 1TB,3.0,1765.44,INR,12/03/2025
ORD000735,CUST0020,Webcam HD,1.0,377.75,USD,25/02/2025
ORD001202,CUST0204,Webcam HD,2.0,1138.7,USD,2024/10/28
ORD000193,CUST0215,Noise Cancelling Headphones,1.0,1411.0,GBP,2024-08-08
ORD000805,CUST0183,Webcam HD,1.0,809.53,INR,01/04/2024
ORD000919,CUST0295,Office Chair,5.0,719.37,EUR,08-25-2024
ORD002747,CUST0143,External SSD 1TB,2.0,391.65,EUR,11-23-2024
